Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
38,False,0,371,1,2,3,0,4,1,45,3,1,1,4,0,3944,4306,6,True,11,3,3,0,6,3,3,3,2,1,2
24,False,2,673,1,11,2,1,1,0,96,4,2,3,3,2,4011,8232,1,False,18,3,4,1,5,5,2,4,2,1,3
36,True,0,1218,0,9,4,0,3,1,82,2,1,6,1,0,3407,6986,8,False,23,4,2,0,10,4,3,5,3,0,3
34,False,0,419,1,7,4,0,1,0,53,3,3,7,2,0,11994,21293,1,False,11,3,3,0,13,4,3,12,6,2,11
21,False,0,391,1,15,2,0,3,1,96,3,1,1,4,0,1232,19281,2,False,14,3,4,0,0,6,3,0,0,0,0
34,True,0,699,1,6,1,2,2,1,83,3,1,1,1,0,2960,17102,3,False,11,3,3,0,8,2,3,4,2,1,3
53,False,0,1282,1,5,3,1,3,0,58,3,5,5,3,2,19094,10735,5,False,11,3,4,1,26,3,2,14,13,4,8
32,True,1,1125,1,16,1,0,2,0,72,1,1,1,1,0,3919,4681,2,True,22,4,2,0,10,5,3,10,2,6,7
42,False,0,691,0,8,4,3,3,1,48,3,2,0,2,1,6825,21173,1,False,11,3,4,1,10,2,3,9,7,4,2
44,False,0,477,1,7,4,2,1,0,42,2,3,4,4,1,10248,2094,4,False,14,3,4,1,24,4,3,22,6,5,17
46,False,0,705,0,2,4,3,2,0,83,3,5,5,1,0,18947,22822,4,False,12,3,4,0,22,2,2,2,2,2,1
33,False,0,924,1,2,3,2,3,1,78,3,1,2,4,0,2496,6670,5,False,11,3,4,0,7,3,3,1,1,0,0
44,False,0,1459,1,10,4,1,4,1,41,3,2,4,4,1,6465,19121,3,True,13,3,4,0,9,5,4,4,2,1,3
30,False,0,125,1,9,2,2,4,1,83,2,1,2,3,0,2206,16117,2,False,13,3,1,0,10,5,3,10,0,1,8
39,True,0,895,0,5,3,4,4,1,56,3,2,6,4,1,2086,3335,4,False,14,3,3,1,19,6,4,1,0,0,0
24,True,0,813,1,1,3,2,2,1,61,3,1,1,4,1,2293,3020,3,True,16,3,1,1,6,2,2,2,0,2,0
43,False,0,1273,1,2,2,2,4,0,72,4,1,1,3,2,2645,21923,2,False,12,3,4,2,6,3,2,5,3,1,4
50,True,0,869,0,3,2,3,1,1,86,2,1,6,3,1,2683,3810,2,True,14,3,3,0,3,2,3,3,2,0,2
35,False,0,890,0,2,3,3,4,0,97,3,1,6,4,1,2014,9687,2,False,13,3,1,0,2,3,3,2,2,2,2
36,False,0,852,1,5,4,0,2,0,82,2,1,1,1,1,3419,13072,10,True,14,3,4,1,6,3,4,1,1,0,0
33,False,1,1141,0,1,3,0,3,0,42,4,2,0,1,1,5376,3193,3,False,19,3,1,2,10,3,3,5,3,1,3
35,False,0,464,1,4,2,1,3,1,75,3,1,2,4,2,1951,10910,2,False,12,3,3,1,1,3,3,1,0,0,0
27,False,0,1240,1,2,4,0,4,0,33,3,1,2,1,2,2341,19715,2,False,13,3,4,1,1,6,3,1,0,0,0
26,True,0,1357,1,25,3,0,1,1,48,1,1,2,3,0,2293,10558,2,False,12,3,3,0,1,2,2,1,0,0,1
27,False,1,994,0,8,3,0,4,1,37,3,3,0,3,0,8726,2975,2,False,15,3,4,0,9,0,3,9,8,1,7
30,False,1,721,1,1,2,2,3,0,58,3,2,2,4,0,4011,10781,2,False,23,4,4,0,12,2,3,12,8,3,7
41,True,0,1360,1,12,3,4,2,0,49,3,5,7,3,1,19545,16280,2,False,12,3,4,0,23,0,3,22,15,15,8
34,False,2,1065,0,23,4,3,2,1,72,3,2,0,3,0,4568,10034,1,False,20,4,3,0,10,2,3,9,5,8,7
37,False,0,408,1,19,2,0,2,1,73,3,1,1,2,1,3022,10227,5,False,21,4,1,0,8,1,3,1,0,0,0
46,False,1,1211,0,5,4,3,1,1,98,3,2,0,4,0,5772,20445,5,True,21,4,3,0,14,4,3,9,6,0,8
35,False,0,1229,1,8,1,0,4,1,36,4,1,2,4,1,2269,4892,2,False,19,3,4,0,1,2,3,1,0,0,1
48,True,0,626,1,1,2,0,1,1,98,2,3,2,3,0,5381,19294,10,True,13,3,4,0,23,2,3,1,0,0,0
28,True,0,1434,1,5,4,4,3,1,50,3,1,2,3,0,3441,11179,2,True,13,3,3,0,2,3,2,2,2,2,2
44,False,0,1488,0,1,5,3,2,0,75,3,2,0,1,2,5454,4009,6,True,21,4,3,1,9,2,2,4,3,1,3
35,False,2,1097,1,11,2,2,3,1,79,2,3,4,1,1,9884,8302,3,True,13,3,3,1,10,3,3,4,0,2,3
26,False,0,1443,0,23,3,3,3,0,47,2,2,0,4,1,4157,21436,8,True,19,3,3,1,5,2,2,2,2,0,0
33,False,1,515,1,1,2,0,1,0,98,3,3,7,4,0,13458,15146,2,True,12,3,3,0,15,1,3,15,14,8,12
35,False,1,853,0,18,5,0,2,1,71,3,3,0,1,1,9069,11031,2,False,22,4,4,1,9,3,2,9,8,1,8
35,False,0,1142,1,23,4,2,3,0,30,3,1,2,1,1,4014,16002,4,True,15,3,3,1,4,3,3,2,2,2,2
31,False,0,655,1,7,4,0,4,1,48,3,2,2,4,2,5915,9528,4,False,22,4,4,1,10,3,2,7,7,1,7
37,False,0,1115,1,1,4,0,1,1,51,2,2,3,3,2,5993,2689,2,False,18,3,3,1,7,2,4,7,5,0,7
32,False,0,427,1,1,3,2,1,1,33,3,2,3,4,1,6162,10877,2,True,22,4,2,1,9,3,3,9,8,7,8
38,False,1,653,1,29,5,0,4,0,50,3,2,2,4,0,2406,5456,2,False,11,3,4,0,10,2,3,10,3,9,9
50,False,0,989,1,7,2,2,2,0,43,2,5,7,3,2,18740,16701,6,True,12,3,4,1,29,2,2,27,3,13,8
59,False,0,1435,0,25,3,0,1,0,99,3,3,0,1,0,7637,2354,8,False,11,3,4,0,28,3,2,21,16,7,9
36,False,0,1223,1,8,3,4,3,0,59,3,3,4,3,2,10096,8202,2,False,13,3,2,3,17,2,3,17,14,12,8
55,False,0,836,1,8,3,2,4,0,33,3,4,5,3,2,14756,19730,3,True,14,3,3,3,21,2,3,5,0,0,2
36,False,1,1195,1,11,3,0,2,1,95,2,2,3,2,0,6499,22656,2,False,13,3,3,0,6,3,3,6,5,0,3
45,False,0,1339,1,7,3,0,2,1,59,3,3,1,1,2,9724,18787,3,False,17,3,3,1,25,2,3,1,0,0,0
35,False,1,664,1,1,3,2,2,1,79,3,1,1,1,1,2194,5868,5,False,13,3,4,1,5,2,2,3,2,1,2
36,True,0,318,1,9,3,2,4,1,79,2,1,1,3,1,3388,21777,1,True,17,3,1,1,2,0,2,1,0,0,0
59,False,1,1225,0,1,1,0,1,0,57,2,2,0,3,0,5473,24668,8,False,11,3,4,0,20,2,2,4,3,1,3
29,False,0,1328,1,2,3,0,3,1,76,3,1,1,2,1,2703,4956,1,False,23,4,4,1,6,3,3,5,4,0,4
31,False,0,1082,1,1,4,2,3,1,87,3,1,1,2,0,2501,18775,2,False,17,3,2,0,1,4,3,1,1,1,0
32,False,0,548,1,1,3,0,2,1,66,3,2,1,2,1,6220,7346,2,False,17,3,2,2,10,3,3,10,4,0,9
36,False,0,132,1,6,3,0,2,0,55,4,1,2,4,1,3038,22002,4,False,12,3,2,0,5,3,3,1,0,0,0
31,False,0,746,1,8,4,0,3,0,61,3,2,3,4,0,4424,20682,2,False,23,4,4,0,11,2,3,11,7,1,8
35,False,0,776,0,1,4,3,3,1,32,2,2,0,1,0,4312,23016,1,False,14,3,2,0,16,2,3,15,13,2,8
45,False,0,193,1,6,4,1,4,1,52,3,3,7,1,1,13245,15067,5,True,14,3,2,0,17,3,4,0,0,0,0
37,False,0,397,1,7,4,2,1,1,30,3,3,7,3,0,13664,25258,5,False,13,3,1,0,16,3,4,5,2,0,2
46,False,0,945,2,5,2,2,2,1,80,3,2,8,2,2,5021,10425,9,True,22,4,4,1,16,2,3,4,2,0,2
30,False,0,852,1,1,1,0,4,1,55,2,2,2,4,1,5126,15998,2,True,12,3,3,2,10,1,2,10,8,3,0
35,False,0,1214,1,1,3,2,2,1,30,2,1,1,3,0,2859,26278,2,False,18,3,1,0,6,3,3,6,4,0,4
55,False,0,111,0,1,2,0,1,1,70,3,3,0,4,1,10239,18092,4,False,14,3,4,1,24,4,3,1,0,1,0
38,False,2,573,1,6,3,2,2,0,79,1,2,1,4,2,5329,15717,8,True,12,3,4,3,17,3,3,13,11,1,9
34,False,0,1153,1,1,2,2,1,1,94,3,2,3,2,1,4325,17736,2,False,15,3,3,0,5,2,3,5,2,1,3
56,False,0,1400,1,7,3,0,4,1,49,1,3,3,4,0,7260,21698,5,False,11,3,1,0,37,3,2,6,4,0,2
23,False,0,541,0,2,1,4,3,1,62,3,1,6,1,2,2322,9518,4,False,13,3,3,1,3,3,3,0,0,0,0
51,False,0,432,1,9,4,0,4,1,96,3,1,2,4,1,2075,18725,4,False,23,4,2,2,10,4,3,4,2,0,3
30,False,0,288,1,2,3,0,3,1,99,2,2,4,4,1,4152,15830,2,False,19,3,1,3,11,3,3,11,10,10,8
46,True,0,669,0,9,2,2,3,1,64,2,3,0,4,0,9619,13596,2,False,16,3,4,0,9,3,3,9,8,4,7
40,False,1,530,1,1,4,0,3,1,78,2,4,4,2,1,13503,14115,2,False,22,4,4,1,22,3,2,22,3,11,11
51,False,0,632,0,21,4,3,3,1,71,3,2,0,4,0,5441,8423,1,True,22,4,4,0,11,2,1,10,7,1,0
30,False,0,1334,0,4,2,2,3,0,63,2,2,0,2,2,5209,19760,2,True,12,3,2,3,11,4,2,11,8,2,7
46,False,1,638,1,1,3,2,3,1,40,2,3,4,1,1,10673,3142,3,True,13,3,3,1,21,5,2,10,9,9,5
32,False,0,1093,0,6,4,2,2,1,87,3,2,0,3,0,5010,24301,2,False,16,3,1,0,12,0,3,11,8,5,7
54,False,0,1217,1,2,4,4,1,0,60,3,3,7,3,1,13549,24001,10,False,12,3,1,1,16,5,1,4,3,0,3
24,False,0,1353,0,3,2,1,1,0,33,3,2,0,3,1,4999,17519,1,False,21,4,1,1,4,2,2,3,2,0,2
28,False,2,120,0,4,3,2,2,1,43,3,2,0,3,1,4221,8863,2,False,15,3,2,0,5,3,4,5,4,0,4
58,False,0,682,0,10,4,2,4,1,37,3,4,0,3,0,13872,24409,1,False,13,3,3,0,38,1,2,37,10,1,8
44,False,2,489,1,23,3,2,2,1,67,3,2,2,2,1,2042,25043,5,False,12,3,3,1,17,3,4,3,2,1,2
37,True,0,807,2,6,4,5,3,1,63,3,1,8,1,2,2073,23648,5,True,22,4,4,0,7,3,3,3,2,0,2
32,False,0,827,1,1,1,0,4,1,71,3,1,1,1,0,2956,15178,2,False,13,3,4,0,1,2,3,1,0,0,0
20,True,1,871,1,6,3,0,4,0,66,2,1,2,4,0,2926,19783,2,True,18,3,2,0,1,5,3,1,0,1,0
34,False,0,665,1,6,4,1,1,0,41,3,2,1,3,0,4809,12482,2,False,14,3,3,0,16,3,3,16,13,2,10
37,False,2,1040,1,2,2,0,3,1,100,2,2,4,4,2,5163,15850,6,False,14,3,4,1,17,2,4,1,0,0,0
59,False,2,1420,2,2,4,5,3,0,32,2,5,5,4,1,18844,21922,10,False,21,4,4,1,30,3,3,3,2,2,2
50,False,1,1115,1,1,3,0,1,0,73,3,5,7,2,1,18172,9755,4,True,19,3,1,0,28,1,2,8,3,0,7
25,True,0,240,0,5,3,3,3,1,46,2,2,0,3,0,5744,26959,2,True,11,3,4,0,6,1,3,6,4,0,3
25,False,0,1280,1,7,1,2,4,1,64,2,1,1,4,1,2889,26897,2,False,11,3,3,2,2,2,3,2,2,2,1
22,False,0,534,1,15,3,2,2,0,59,3,1,2,4,0,2871,23785,2,False,15,3,3,0,1,5,3,0,0,0,0
51,False,1,1456,1,1,4,2,1,0,30,2,3,4,1,0,7484,25796,4,False,20,4,3,0,23,1,2,13,12,12,8
34,True,1,658,1,7,3,0,1,1,66,1,2,2,3,0,6074,22887,2,True,24,4,4,0,9,3,3,9,7,0,6
54,False,2,142,2,26,3,5,4,0,30,4,4,5,4,0,17328,13871,3,True,12,3,3,0,23,3,3,5,3,4,4
24,False,0,1127,1,18,1,0,2,1,52,3,1,2,3,1,2774,13257,1,False,12,3,3,1,6,2,3,5,3,1,2
34,False,0,1031,1,6,4,0,3,0,45,2,2,1,2,2,4505,15000,7,False,15,3,3,1,12,3,3,1,0,0,0
37,False,0,1189,0,3,3,0,3,1,87,3,3,0,4,0,7428,14506,3,False,12,3,1,0,12,3,3,5,3,1,3
34,False,0,1354,1,5,3,2,3,0,45,2,3,5,1,0,11631,5615,3,False,12,3,4,0,14,6,3,11,10,5,8
36,False,1,1467,0,11,2,4,2,0,92,3,3,0,4,1,9738,22952,1,False,14,3,3,1,10,6,3,9,7,2,8
36,False,0,922,1,3,2,0,1,0,39,3,1,2,4,2,2835,2561,6,False,22,4,1,1,7,2,3,1,0,0,0
43,False,1,394,0,26,2,0,3,1,92,3,4,5,4,1,16959,19494,2,True,12,3,4,2,25,3,4,25,12,4,12
30,False,1,1312,1,23,3,0,1,1,96,1,1,1,3,2,2613,22310,2,False,25,4,3,3,10,2,2,10,7,0,9
33,False,2,750,0,22,2,3,3,1,95,3,2,0,2,1,6146,15480,1,False,13,3,1,1,8,2,4,7,7,0,7
56,True,0,441,1,14,4,0,2,0,72,3,1,1,2,1,4963,4510,10,True,18,3,1,3,7,2,3,5,4,4,3
51,False,0,684,1,6,3,0,1,1,51,3,5,7,3,0,19537,6462,8,False,13,3,3,0,23,5,3,20,18,15,15
31,True,0,249,0,6,4,0,2,1,76,1,2,0,3,1,6172,20739,5,True,18,3,2,0,12,3,2,7,7,7,7
26,False,0,841,1,6,3,1,3,0,46,2,1,1,2,1,2368,23300,2,False,19,3,3,0,5,3,2,5,4,4,3
58,True,0,147,1,23,4,2,4,0,94,3,3,4,4,1,10312,3465,2,False,12,3,4,1,40,3,2,40,10,15,6
19,True,0,528,0,22,1,3,4,1,50,3,1,6,3,0,1675,26820,2,True,19,3,4,0,0,2,2,0,0,0,0
22,False,0,594,1,2,1,4,3,1,100,3,1,2,4,1,2523,19299,1,False,14,3,3,1,3,2,3,2,1,2,1
49,False,0,470,1,20,4,2,3,0,96,3,2,3,1,1,6567,5549,2,False,14,3,3,0,16,2,2,15,11,5,11
43,False,1,957,1,28,3,2,2,0,72,4,1,1,3,0,4739,16090,5,False,12,3,4,0,18,2,3,3,2,1,2
50,False,1,809,0,12,3,3,3,0,77,3,3,0,4,0,9208,6645,5,False,11,3,4,0,16,3,3,2,2,2,1
31,True,0,542,0,20,3,0,2,0,71,1,2,0,3,1,4559,24788,4,True,11,3,3,1,4,2,3,2,2,2,2
41,False,0,802,0,9,1,0,3,1,96,3,3,0,3,2,8189,21196,4,True,13,3,3,1,12,2,3,9,7,0,7
26,False,0,1355,2,25,1,0,3,0,61,3,1,8,3,1,2942,8916,2,False,23,4,4,1,8,3,3,8,7,5,7
36,False,0,216,1,6,2,2,2,1,84,3,2,3,2,2,4941,2819,7,False,20,4,4,2,7,0,3,3,2,0,1
51,True,1,1150,1,8,4,0,1,1,53,1,3,3,4,0,10650,25150,3,False,15,3,4,0,18,2,3,4,2,0,3
39,False,0,1329,0,4,4,0,4,0,47,2,2,0,3,1,5902,14590,5,False,14,3,3,1,17,1,4,15,11,5,9
25,False,0,959,0,28,3,0,1,1,41,2,2,0,3,1,8639,24835,3,False,18,3,4,0,6,3,3,2,2,2,2
30,False,0,1240,2,9,3,5,3,1,48,3,2,8,4,1,6347,13982,1,True,19,3,4,0,12,2,1,11,9,4,7
32,True,0,1033,1,9,3,2,1,0,41,3,1,2,1,0,4200,10224,8,False,22,4,1,0,10,2,4,5,4,0,4
45,False,0,1316,1,29,3,2,3,1,83,3,1,1,4,0,3452,9752,6,False,13,3,2,0,9,2,2,6,5,0,3
38,False,0,364,1,3,5,4,4,0,32,3,2,1,3,0,4317,2302,4,True,20,4,2,0,19,2,3,3,2,2,2
30,False,0,438,1,18,3,0,1,0,75,3,1,1,3,0,2632,23910,2,False,14,3,3,0,5,4,2,5,4,0,4
32,False,1,689,0,9,2,2,4,1,35,1,2,0,4,2,4668,22812,1,False,17,3,4,3,9,2,4,8,7,0,7
30,False,0,201,1,5,3,4,4,0,84,3,1,1,1,2,3204,10415,6,False,14,3,4,1,8,3,3,3,2,2,2
30,False,0,1427,1,2,1,2,2,1,35,2,1,2,4,0,2720,11162,1,False,13,3,4,0,6,3,3,5,3,1,2
41,False,1,857,1,10,3,0,4,1,91,2,4,5,1,2,17181,12888,5,False,13,3,2,1,21,2,2,7,6,7,7
41,False,0,933,1,9,4,0,3,1,94,3,1,2,1,1,2238,6961,3,False,21,4,4,1,7,2,3,5,0,1,4
19,False,0,1181,1,3,1,2,2,0,79,3,1,2,2,0,1483,16102,2,False,14,3,4,0,1,3,3,1,0,0,0
40,False,1,1395,1,26,3,2,2,0,54,3,2,1,2,2,5605,8504,2,False,11,3,1,1,20,2,3,20,7,2,13
35,False,0,662,0,1,5,3,3,1,94,3,3,0,2,1,7295,11439,2,False,13,3,1,2,10,3,3,10,8,0,6
53,False,0,1436,0,6,2,3,2,1,34,3,2,6,3,1,2306,16047,3,True,20,4,4,1,13,3,1,7,7,4,5
45,False,0,194,1,9,3,0,2,1,60,3,2,2,2,2,2348,10901,9,False,18,3,3,1,20,2,1,17,9,0,15
32,False,1,967,0,8,3,3,2,0,43,3,3,0,4,0,8998,15589,2,False,14,3,4,0,9,2,3,9,8,3,7
29,False,2,1496,1,1,1,4,4,1,41,3,2,3,3,1,4319,26283,2,False,13,3,1,1,10,1,3,10,7,0,9
51,False,0,1169,1,7,4,2,2,1,34,2,2,3,3,1,6132,13983,3,False,17,3,3,0,10,2,3,1,0,0,0
58,False,0,1145,1,9,3,2,2,0,75,2,1,1,2,1,3346,11873,5,True,20,4,2,1,9,3,2,1,0,0,0
40,False,0,630,0,4,4,3,3,1,67,2,3,0,4,1,10855,8552,8,False,11,3,1,1,15,2,2,12,11,2,11
34,False,1,303,0,2,4,3,3,0,75,3,1,6,3,1,2231,11314,7,False,18,3,4,1,6,3,3,4,3,1,2
22,False,0,1256,1,19,1,2,3,1,80,3,1,1,4,1,2323,11992,2,False,24,4,1,2,2,6,3,2,2,2,2
27,False,2,691,1,9,3,2,4,1,57,3,1,1,2,2,2024,5970,7,False,18,3,4,1,6,1,1,2,2,2,2
28,False,0,440,1,21,3,2,3,1,42,3,1,1,4,1,2713,6672,2,False,11,3,3,1,5,2,1,5,2,0,2
57,False,0,334,1,24,2,0,3,1,83,4,3,4,4,2,9439,23402,4,True,16,3,2,1,12,2,1,5,3,1,4
27,False,2,1450,1,3,3,2,3,1,79,2,1,1,3,2,2566,25326,2,True,15,3,4,1,1,2,2,1,1,0,1
50,False,0,1452,1,11,3,0,3,0,53,3,5,5,2,0,19926,17053,4,False,15,3,2,0,21,5,3,5,4,4,4
41,False,0,465,1,14,3,0,1,1,56,3,1,1,3,2,2451,4609,5,False,12,3,1,1,13,2,3,9,8,1,8
30,False,0,1339,0,5,3,0,2,0,41,3,3,0,4,1,9419,8053,3,False,12,3,3,1,12,2,3,10,9,7,4
38,False,0,702,0,1,4,0,1,0,59,2,2,0,4,0,8686,12930,5,False,22,4,3,0,12,2,4,8,3,0,7
32,False,0,120,1,6,5,0,3,1,43,3,1,1,3,0,3038,12430,4,False,20,4,1,0,8,2,3,5,4,1,4
27,False,0,1157,1,17,3,4,3,1,51,3,1,1,2,1,3058,13364,1,True,16,3,4,1,6,3,2,5,2,1,1
19,True,1,602,0,1,1,4,3,0,100,1,1,6,1,0,2325,20989,1,False,21,4,1,0,1,5,4,0,0,0,0
36,False,1,1480,1,3,2,2,4,1,30,3,1,2,2,0,2088,15062,5,False,12,3,3,0,13,3,2,8,7,7,2
30,False,2,111,1,9,3,2,3,1,66,3,2,2,1,2,3072,11012,2,False,11,3,3,2,12,4,3,12,9,6,10
45,False,0,1268,0,4,2,0,3,0,30,3,2,0,1,2,5006,6319,5,True,11,3,1,1,9,3,4,5,4,0,3
56,False,0,713,1,8,3,0,3,0,67,3,1,1,1,2,4257,13939,5,True,18,3,3,1,19,3,3,2,2,2,2
33,False,0,134,1,2,3,0,3,1,90,3,1,1,4,0,2500,10515,1,False,14,3,1,0,4,2,4,3,1,0,2
19,True,0,303,1,2,3,0,2,1,47,2,1,2,4,0,1102,9241,2,False,22,4,3,0,1,3,2,1,0,1,0
46,False,0,526,0,1,2,3,2,0,92,3,3,0,1,2,10453,2137,2,False,25,4,3,3,24,2,3,24,13,15,7
38,False,0,1380,1,9,2,0,3,0,75,3,1,2,4,0,2288,6319,2,False,12,3,3,0,2,3,3,2,2,2,1
31,False,0,140,1,12,1,2,3,0,95,3,1,1,4,1,3929,6984,9,True,23,4,3,1,7,0,3,4,2,0,2
34,False,0,629,1,27,2,2,4,0,95,3,1,1,2,0,2311,5711,3,False,15,3,4,0,9,3,3,3,2,1,2
41,True,0,1356,0,20,2,3,2,0,70,3,1,6,2,0,3140,21728,2,True,22,4,4,0,4,5,2,4,3,0,2
50,False,0,328,1,1,3,2,3,1,86,2,1,2,3,1,3690,3425,3,False,15,3,4,1,5,2,2,3,2,0,2
53,False,0,1084,1,13,2,2,4,0,57,4,2,3,1,2,4450,26250,2,False,11,3,3,2,5,3,3,4,2,1,3
33,False,0,931,1,14,3,2,4,0,72,3,1,1,2,1,2756,4673,2,False,13,3,4,1,8,5,3,8,7,1,6
40,False,0,989,1,4,1,2,4,0,46,3,5,5,3,1,19033,6499,2,False,14,3,2,1,21,2,3,20,8,9,9
55,False,0,692,1,14,4,2,3,1,61,4,5,7,2,0,18722,13339,9,False,11,3,4,0,36,3,3,24,15,2,15
34,False,1,1069,1,2,1,0,4,1,45,2,2,3,3,1,9547,14074,2,False,17,3,3,0,10,2,2,10,9,1,9
51,False,0,313,1,3,3,2,4,0,98,3,4,4,2,0,13734,7192,4,False,18,3,3,0,21,6,3,7,7,1,0
52,False,0,699,1,1,4,0,3,1,65,2,5,5,3,1,19999,5678,1,False,14,3,1,1,34,5,3,33,18,11,9
27,False,0,894,1,9,3,2,4,0,99,3,1,1,2,0,2279,11781,2,False,16,3,4,0,7,2,2,7,7,0,3
35,True,0,556,1,23,2,0,2,1,50,2,2,3,3,1,5916,15497,4,True,13,3,1,0,8,1,3,1,0,0,1
43,False,2,1344,1,7,3,2,4,1,37,4,1,1,4,2,2089,5228,5,False,14,3,4,3,7,3,4,5,4,2,2
45,False,2,1195,1,2,2,2,1,1,65,2,4,5,4,1,16792,20462,10,False,23,4,4,1,22,1,3,20,8,11,8
37,False,0,290,1,21,3,0,2,1,65,4,1,1,1,1,3564,22977,2,True,12,3,1,1,8,3,2,8,7,1,7
35,False,1,138,1,2,3,2,2,0,37,3,2,2,2,0,4425,15986,6,False,11,3,4,0,10,5,3,6,2,1,2
42,False,2,926,1,21,2,2,3,0,36,3,2,3,3,2,5265,16439,3,False,16,3,2,1,11,5,3,5,3,0,2
38,False,0,1261,1,2,4,0,4,1,88,3,2,3,3,1,6553,7259,10,False,14,3,2,0,14,3,3,1,0,0,0
38,False,0,1084,1,29,3,4,4,1,54,3,2,3,4,1,6261,4185,4,False,18,3,1,1,9,3,1,7,7,1,7
27,False,1,472,1,1,1,4,3,1,60,2,2,3,1,1,4298,9679,6,False,19,3,3,1,6,1,3,2,2,2,0
49,False,2,1002,1,18,4,0,4,1,92,3,2,3,4,2,6804,23793,2,True,15,3,1,2,7,0,3,7,7,1,7
34,False,1,878,1,10,4,2,4,1,43,3,1,1,3,2,3815,5972,2,True,17,3,4,1,5,4,4,5,3,2,0
40,False,0,905,1,19,2,2,3,1,99,3,2,2,4,1,2741,16523,9,True,15,3,3,1,15,2,4,7,2,3,7
38,True,0,1180,1,29,1,2,2,1,70,3,2,4,1,1,6673,11354,8,True,19,3,2,0,17,2,3,1,0,0,0
29,True,0,121,0,27,3,3,2,0,35,3,3,0,4,1,7639,24525,2,False,22,4,4,3,10,3,2,10,4,1,9
22,False,0,1136,1,5,3,0,4,1,60,4,1,1,2,2,2328,12392,2,True,16,3,1,1,4,2,2,4,2,2,2
36,False,1,635,1,18,1,2,2,0,73,3,1,2,4,0,2153,7703,2,False,13,3,1,0,8,2,3,8,1,1,7
40,False,2,1151,1,9,5,0,4,1,63,2,2,4,4,1,4876,14242,10,False,14,3,4,1,5,5,1,3,2,0,2
